Temps;Canal A;Canal B
(ms);(V);(V)

-250,33435225;0,99215670;-0,00061037
-250,17051226;0,99215670;-0,00061037
-250,00667226;0,99215670;-0,00061037
-249,84283226;0,99215670;-0,00061037
-249,67899226;0,99215670;-0,00061037
-249,51515226;0,99215670;-0,00061037
-249,35131226;0,99215670;-0,00061037
-249,18747226;0,99215670;-0,00061037
-249,02363226;0,99215670;-0,00061037
-248,85979226;0,99215670;-0,00061037
-248,69595226;0,94729450;-0,00061037
-248,53211227;0,94729450;-0,00061037
-248,36827227;0,94729450;-0,00061037
-248,20443227;0,94729450;-0,00061037
-248,04059227;0,90227970;-0,00061037
-247,87675227;0,94729450;-0,00061037
-247,71291227;0,90227970;-0,00061037
-247,54907227;0,94729450;-0,00061037
-247,38523227;0,90227970;-0,00061037
-247,22139227;0,90227970;-0,00061037
-247,05755227;0,85741750;-0,00061037
-246,89371228;0,90227970;-0,00061037
-246,72987228;0,85741750;-0,00061037
-246,56603228;0,90227970;-0,00061037
-246,40219228;0,85741750;-0,00061037
-246,23835228;0,85741750;0,04501480
-246,07451228;0,85741750;-0,00061037
-245,91067228;0,81240270;-0,00061037
-245,74683228;0,85741750;-0,00061037
-245,58299228;0,81240270;-0,00061037
-245,41915228;0,81240270;-0,00061037
-245,25531229;0,81240270;0,04501480
-245,09147229;0,81240270;-0,00061037
-244,92763229;0,81240270;-0,00061037
-244,76379229;0,81240270;-0,00061037
-244,59995229;0,81240270;-0,00061037
-244,43611229;0,81240270;-0,00061037
-244,27227229;0,81240270;-0,00061037
-244,10843229;0,81240270;-0,00061037
-243,94459229;0,76754050;-0,00061037
-243,78075229;0,76754050;-0,00061037
-243,61691230;0,72267830;-0,00061037
-243,45307230;0,76754050;-0,00061037
-243,28923230;0,72267830;-0,00061037
-243,12539230;0,72267830;-0,00061037
-242,96155230;0,72267830;-0,00061037
-242,79771230;0,72267830;-0,00061037
-242,63387230;0,72267830;-0,00061037
-242,47003230;0,67766350;-0,00061037
-242,30619230;0,67766350;-0,00061037
-242,14235230;0,67766350;-0,00061037
-241,97851231;0,67766350;-0,00061037
-241,81467231;0,67766350;-0,00061037
-241,65083231;0,67766350;0,04501480
-241,48699231;0,67766350;-0,00061037
-241,32315231;0,63280130;-0,00061037
-241,15931231;0,63280130;-0,00061037
-240,99547231;0,63280130;-0,00061037
-240,83163231;0,63280130;-0,00061037
-240,66779231;0,63280130;-0,00061037
-240,50395231;0,63280130;-0,00061037
-240,34011232;0,63280130;-0,00061037
-240,17627232;0,63280130;-0,00061037
-240,01243232;0,58778650;-0,00061037
-239,84859232;0,63280130;-0,00061037
-239,68475232;0,58778650;-0,00061037
-239,52091232;0,58778650;-0,00061037
-239,35707232;0,58778650;-0,00061037
-239,19323232;0,58778650;-0,00061037
-239,02939232;0,54292430;-0,00061037
-238,86555232;0,54292430;-0,00061037
-238,70171233;0,54292430;-0,00061037
-238,53787233;0,54292430;-0,00061037
-238,37403233;0,54292430;-0,00061037
-238,21019233;0,54292430;-0,00061037
-238,04635233;0,49806210;-0,00061037
-237,88251233;0,54292430;-0,00061037
-237,71867233;0,49806210;-0,00061037
-237,55483233;0,49806210;-0,00061037
-237,39099233;0,49806210;-0,00061037
-237,22715233;0,49806210;-0,00061037
-237,06331234;0,49806210;-0,00061037
-236,89947234;0,49806210;-0,00061037
-236,73563234;0,49806210;-0,00061037
-236,57179234;0,45304730;-0,00061037
-236,40795234;0,45304730;-0,00061037
-236,24411234;0,45304730;-0,00061037
-236,08027234;0,45304730;-0,00061037
-235,91643234;0,45304730;-0,00061037
-235,75259234;0,45304730;-0,00061037
-235,58875234;0,45304730;-0,00061037
-235,42491235;0,45304730;-0,00061037
-235,26107235;0,40818510;-0,00061037
-235,09723235;0,40818510;-0,00061037
-234,93339235;0,45304730;-0,00061037
-234,76955235;0,45304730;-0,00061037
-234,60571235;0,36317030;-0,00061037
-234,44187235;0,40818510;-0,00061037
-234,27803235;0,36317030;-0,00061037
-234,11419235;0,36317030;-0,00061037
-233,95035235;0,36317030;-0,00061037
-233,78651236;0,36317030;-0,00061037
-233,62267236;0,36317030;-0,00061037
-233,45883236;0,31830810;-0,00061037
-233,29499236;0,31830810;-0,00061037
-233,13115236;0,31830810;-0,00061037
-232,96731236;0,31830810;-0,00061037
-232,80347236;0,31830810;-0,00061037
-232,63963236;0,31830810;-0,00061037
-232,47579236;0,31830810;-0,00061037
-232,31195236;0,31830810;-0,00061037
-232,14811237;0,31830810;-0,00061037
-231,98427237;0,27344580;-0,00061037
-231,82043237;0,31830810;-0,00061037
