Temps;Canal A;Canal B
(ms);(V);(V)

-50,09407923;0,90548420;-0,00061037
-50,05311923;0,90548420;0,09063997
-50,01215923;0,90548420;-0,00061037
-49,97119923;0,90548420;-0,00061037
-49,93023923;0,90548420;-0,00061037
-49,88927923;0,90548420;-0,00061037
-49,84831923;0,90548420;-0,00061037
-49,80735923;0,90548420;-0,00061037
-49,76639923;0,90548420;-0,00061037
-49,72543923;0,90548420;-0,00061037
-49,68447923;0,90548420;-0,00061037
-49,64351923;0,90548420;-0,00061037
-49,60255923;0,90548420;-0,00061037
-49,56159923;0,90548420;-0,00061037
-49,52063923;0,90548420;-0,00061037
-49,47967923;0,90548420;-0,00061037
-49,43871923;0,90548420;-0,00061037
-49,39775923;0,90548420;-0,00061037
-49,35679923;0,90548420;-0,00061037
-49,31583923;0,90548420;-0,00061037
-49,27487923;0,90548420;-0,00061037
-49,23391923;0,90548420;-0,00061037
-49,19295923;0,90548420;-0,00061037
-49,15199923;0,90548420;-0,00061037
-49,11103923;0,90548420;-0,00061037
-49,07007923;0,90548420;-0,00061037
-49,02911923;0,90548420;-0,00061037
-48,98815923;0,90548420;-0,00061037
-48,94719923;0,90548420;-0,00061037
-48,90623923;0,90548420;-0,00061037
-48,86527923;0,90548420;-0,00061037
-48,82431923;0,90548420;-0,00061037
-48,78335923;0,90548420;-0,00061037
-48,74239923;0,90548420;-0,00061037
-48,70143923;0,90548420;-0,00061037
-48,66047923;0,90548420;-0,00061037
-48,61951924;0,90548420;-0,00061037
-48,57855924;0,90548420;-0,00061037
-48,53759924;0,90548420;-0,00061037
-48,49663924;0,90548420;-0,00061037
-48,45567924;0,90548420;-0,00061037
-48,41471924;0,90548420;-0,00061037
-48,37375924;0,90548420;-0,00061037
-48,33279924;0,90548420;-0,00061037
-48,29183924;0,90548420;-0,00061037
-48,25087924;0,90548420;-0,00061037
-48,20991924;0,90548420;-0,00061037
-48,16895924;0,90548420;-0,00061037
-48,12799924;0,90548420;-0,00061037
-48,08703924;0,90548420;-0,00061037
-48,04607924;0,90548420;-0,00061037
-48,00511924;0,90548420;-0,00061037
-47,96415924;0,90548420;-0,00061037
-47,92319924;0,90548420;-0,00061037
-47,88223924;0,90548420;-0,00061037
-47,84127924;0,90548420;-0,00061037
-47,80031924;0,90548420;-0,00061037
-47,75935924;0,90548420;-0,00061037
-47,71839924;0,90548420;-0,00061037
-47,67743924;0,90548420;-0,00061037
-47,63647924;0,90548420;-0,00061037
-47,59551924;0,90548420;-0,00061037
-47,55455924;0,90548420;-0,00061037
-47,51359924;0,90548420;-0,00061037
-47,47263924;0,90548420;-0,00061037
-47,43167924;0,90548420;-0,00061037
-47,39071924;0,90548420;-0,00061037
-47,34975924;0,90548420;-0,00061037
-47,30879924;0,90548420;-0,00061037
-47,26783924;0,90548420;-0,00061037
-47,22687924;0,90548420;-0,00061037
-47,18591924;0,90548420;0,09063997
-47,14495924;0,90548420;-0,00061037
-47,10399924;0,90548420;-0,00061037
-47,06303924;0,90548420;-0,00061037
-47,02207924;0,90548420;-0,00061037
-46,98111925;0,90548420;-0,00061037
-46,94015925;0,90548420;-0,00061037
-46,89919925;0,90548420;-0,00061037
-46,85823925;0,90548420;-0,00061037
-46,81727925;0,90548420;-0,00061037
-46,77631925;0,90548420;-0,00061037
-46,73535925;0,90548420;-0,00061037
-46,69439925;0,81575980;-0,00061037
-46,65343925;0,90548420;-0,00061037
-46,61247925;0,90548420;-0,00061037
-46,57151925;0,90548420;-0,00061037
-46,53055925;0,90548420;-0,00061037
-46,48959925;0,90548420;-0,00061037
-46,44863925;0,90548420;-0,00061037
-46,40767925;0,90548420;-0,00061037
-46,36671925;0,90548420;-0,00061037
-46,32575925;0,90548420;-0,00061037
-46,28479925;0,90548420;-0,00061037
-46,24383925;0,90548420;-0,00061037
-46,20287925;0,90548420;-0,00061037
-46,16191925;0,90548420;-0,00061037
-46,12095925;0,90548420;-0,00061037
-46,07999925;0,90548420;-0,00061037
-46,03903925;0,90548420;-0,00061037
-45,99807925;0,90548420;-0,00061037
-45,95711925;0,90548420;-0,00061037
-45,91615925;0,90548420;-0,00061037
-45,87519925;0,90548420;-0,00061037
-45,83423925;0,90548420;-0,00061037
-45,79327925;0,90548420;-0,00061037
-45,75231925;0,90548420;-0,00061037
-45,71135925;0,90548420;-0,00061037
-45,67039925;0,90548420;-0,00061037
-45,62943925;0,90548420;-0,00061037
-45,58847925;0,90548420;-0,00061037
-45,54751925;0,90548420;-0,00061037
-45,50655925;0,90548420;-0,00061037
-45,46559925;0,90548420;-0,00061037
