Temps;Canal A;Canal B
(s);(V);(V)

0,00000000;1,53416600;2,00384500
0,00032768;1,53416600;2,00384500
0,00065536;1,53416600;2,00384500
0,00098304;1,53416600;2,00384500
0,00131072;1,53416600;2,00384500
0,00163840;1,53416600;2,00384500
0,00196608;1,53416600;2,00384500
0,00229376;1,53416600;2,00384500
0,00262144;1,53416600;2,00384500
0,00294912;1,53416600;2,00384500
0,00327680;1,53416600;2,00384500
0,00360448;1,53416600;2,00384500
0,00393216;1,53416600;2,00384500
0,00425984;1,53416600;2,00384500
0,00458752;1,53416600;2,00384500
0,00491520;1,53416600;2,00384500
0,00524288;1,53416600;2,00384500
0,00557056;1,53416600;2,00384500
0,00589824;1,53416600;2,00384500
0,00622592;1,53416600;2,00384500
0,00655360;1,53416600;2,00384500
0,00688128;1,53416600;2,00384500
0,00720896;1,53416600;2,00384500
0,00753664;1,53416600;2,00384500
0,00786432;1,53416600;2,00384500
0,00819200;1,53416600;2,00384500
0,00851968;1,53416600;2,00384500
0,00884736;1,53416600;2,00384500
0,00917504;1,62389000;2,00384500
0,00950272;1,53416600;2,00384500
0,00983040;1,53416600;2,00384500
0,01015808;1,53416600;2,00384500
0,01048576;1,53416600;2,00384500
0,01081344;1,53416600;2,00384500
0,01114112;1,53416600;2,00384500
0,01146880;1,62389000;2,00384500
0,01179648;1,53416600;2,00384500
0,01212416;1,53416600;2,00384500
0,01245184;1,53416600;2,00384500
0,01277952;1,53416600;2,00384500
0,01310720;1,62389000;2,00384500
0,01343488;1,53416600;2,00384500
0,01376256;1,53416600;2,00384500
0,01409024;1,53416600;2,00384500
0,01441792;1,53416600;2,00384500
0,01474560;1,53416600;2,00384500
0,01507328;1,53416600;2,00384500
0,01540096;1,62389000;2,00384500
0,01572864;1,53416600;2,00384500
0,01605632;1,62389000;2,00384500
0,01638400;1,53416600;2,00384500
0,01671168;1,62389000;2,00384500
0,01703936;1,53416600;2,00384500
0,01736704;1,62389000;2,00384500
0,01769472;1,62389000;2,00384500
0,01802240;1,62389000;2,00384500
0,01835008;1,53416600;2,00384500
0,01867776;1,53416600;2,00384500
0,01900544;1,62389000;2,00384500
0,01933312;1,62389000;2,00384500
0,01966080;1,62389000;2,00384500
0,01998848;1,62389000;2,00384500
0,02031616;1,53416600;2,00384500
0,02064384;1,53416600;2,00384500
0,02097152;1,62389000;2,00384500
0,02129920;1,62389000;2,00384500
0,02162688;1,62389000;2,00384500
0,02195456;1,62389000;2,00384500
0,02228224;1,62389000;2,00384500
0,02260992;1,62389000;2,00384500
0,02293760;1,62389000;2,00384500
0,02326528;1,62389000;2,00384500
0,02359296;1,62389000;2,00384500
0,02392064;1,62389000;2,00384500
0,02424832;1,62389000;2,00384500
0,02457600;1,53416600;2,00384500
0,02490368;1,62389000;2,00384500
0,02523136;1,62389000;2,00384500
0,02555904;1,62389000;2,00384500
0,02588672;1,62389000;2,00384500
0,02621440;1,62389000;2,00384500
0,02654208;1,62389000;2,00384500
0,02686976;1,62389000;2,00384500
0,02719744;1,62389000;2,00384500
0,02752512;1,53416600;2,00384500
0,02785280;1,62389000;2,00384500
0,02818048;1,62389000;2,00384500
