Temps;Canal A;Canal B
(ms);(V);(V)

0,00000000;2,61177400;3,09701800
0,16384000;2,61177400;3,00607300
0,32768000;2,61177400;3,00607300
0,49152000;2,61177400;3,00607300
0,65536000;2,61177400;3,00607300
0,81920000;2,61177400;3,00607300
0,98303999;2,52174400;3,00607300
1,14687999;2,43202000;3,00607300
1,31071999;2,43202000;3,00607300
1,47455999;2,43202000;3,00607300
1,63839999;2,34229600;3,00607300
1,80223999;2,25257100;3,00607300
1,96607999;2,07281700;3,00607300
2,12991999;1,98309300;3,00607300
2,29375999;1,89336800;3,00607300
2,45759999;1,71361400;3,00607300
2,62143998;1,62389000;3,00607300
2,78527998;1,44413600;3,00607300
2,94911998;1,26468700;3,00607300
3,11295998;1,08493300;3,00607300
3,27679998;0,99520860;3,00607300
3,44063998;0,90548420;3,00607300
3,60447998;0,72573020;3,00607300
3,76831998;0,63600580;3,00607300
3,93215998;0,63600580;3,09701800
4,09599998;0,54628130;3,18826900
4,25983997;0,45655690;3,46171500
4,42367997;0,36652730;3,64391000
4,58751997;0,27680290;4,00830100
4,75135997;0,18707850;4,55488800
4,91519997;0,18707850;4,91958400
5,07903997;0,18707850;5,10177900
5,24287997;0,18707850;5,10177900
5,40671997;0,18707850;5,19272400
5,57055997;0,18707850;5,19272400
5,73439997;0,09735405;5,19272400
5,89823996;0,09735405;5,10177900
6,06207996;0,09735405;5,10177900
6,22591996;0,09735405;5,10177900
6,38975996;0,00762963;5,10177900
6,55359996;0,00762963;5,19272400
6,71743996;0,00762963;5,10177900
6,88127996;0,00762963;5,19272400
7,04511996;0,09735405;5,10177900
7,20895996;0,00762963;5,10177900
7,37279996;0,00762963;5,10177900
7,53663995;-0,08209479;5,10177900
7,70047995;0,00762963;5,10177900
7,86431995;0,00762963;5,10177900
8,02815995;0,00762963;5,19272400
8,19199995;0,00762963;5,10177900
8,35583995;0,00762963;5,19272400
8,51967995;0,00762963;5,10177900
8,68351995;0,00762963;5,10177900
8,84735995;0,00762963;5,19272400
9,01119995;0,00762963;5,19272400
9,17503994;0,00762963;5,10177900
9,33887994;0,00762963;5,19272400
9,50271994;0,00762963;5,10177900
9,66655994;0,00762963;5,19272400
9,83039994;0,00762963;5,19272400
9,99423994;0,00762963;5,10177900
10,15807994;0,00762963;5,19272400
10,32191994;0,00762963;5,19272400
10,48575994;0,00762963;5,19272400
10,64959994;0,00762963;5,10177900
10,81343993;0,00762963;5,10177900
10,97727993;0,00762963;5,19272400
11,14111993;0,00762963;5,10177900
11,30495993;0,00762963;5,10177900
11,46879993;-0,08209479;5,10177900
11,63263993;0,00762963;5,10177900
11,79647993;-0,08209479;5,10177900
11,96031993;0,00762963;5,19272400
12,12415993;0,00762963;5,10177900
12,28799993;0,00762963;5,19272400
12,45183992;0,00762963;5,10177900
12,61567992;0,00762963;5,19272400
12,77951992;0,00762963;5,10177900
12,94335992;0,00762963;5,10177900
13,10719992;0,00762963;5,10177900
13,27103992;0,00762963;5,10177900
13,43487992;0,00762963;5,10177900
13,59871992;0,00762963;5,10177900
13,76255992;0,00762963;5,19272400
13,92639992;-0,08209479;5,10177900
14,09023991;-0,08209479;5,10177900
14,25407991;0,00762963;5,19272400
14,41791991;0,00762963;5,19272400
14,58175991;0,00762963;5,10177900
14,74559991;0,00762963;5,19272400
14,90943991;0,00762963;5,10177900
15,07327991;-0,08209479;5,10177900
15,23711991;0,00762963;5,10177900
15,40095991;0,00762963;5,19272400
15,56479991;0,00762963;5,19272400
15,72863990;0,00762963;5,10177900
15,89247990;0,00762963;5,19272400
16,05631990;0,00762963;5,10177900
16,22015990;0,00762963;5,10177900
16,38399990;0,00762963;5,10177900
16,54783990;0,09735405;5,19272400
16,71167990;0,18707850;5,19272400
16,87551990;0,27680290;5,10177900
17,03935990;0,27680290;5,19272400
17,20319990;0,27680290;5,19272400
17,36703989;0,45655690;5,19272400
17,53087989;0,45655690;5,19272400
17,69471989;0,54628130;5,10177900
17,85855989;0,63600580;5,19272400
18,02239989;0,72573020;5,19272400
18,18623989;0,81575980;5,10177900
18,35007989;0,81575980;4,64613800
18,51391989;0,90548420;3,91705100
18,67775989;0,90548420;3,55266000
18,84159989;0,99520860;3,27951900
19,00543988;0,99520860;2,91482300
19,16927988;1,08493300;2,91482300
19,33311988;1,17496300;2,91482300
19,49695988;1,26468700;3,00607300
19,66079988;1,35441100;3,00607300
19,82463988;1,44413600;3,00607300
19,98847988;1,62389000;2,91482300
20,15231988;1,71361400;3,00607300
20,31615988;1,80333900;2,91482300
20,47999988;1,89336800;3,00607300
