Temps;Canal A;Canal B
(ms);(V);(V)

-250,29894710;0,99215670;1,46122600
-250,13510710;0,99215670;1,46122600
-249,97126710;0,99215670;1,46122600
-249,80742710;0,99215670;1,46122600
-249,64358710;0,99215670;1,46122600
-249,47974710;0,99215670;1,46122600
-249,31590710;0,99215670;1,41544800
-249,15206710;0,99215670;1,41544800
-248,98822710;0,99215670;1,41544800
-248,82438710;0,94729450;1,41544800
-248,66054711;0,99215670;1,41544800
-248,49670711;0,99215670;1,41544800
-248,33286711;0,94729450;1,36982300
-248,16902711;0,94729450;1,36982300
-248,00518711;0,94729450;1,36982300
-247,84134711;0,94729450;1,32419800
-247,67750711;0,90227970;1,32419800
-247,51366711;0,90227970;1,32419800
-247,34982711;0,90227970;1,32419800
-247,18598711;0,90227970;1,27842000
-247,02214712;0,90227970;1,27842000
-246,85830712;0,90227970;1,27842000
-246,69446712;0,85741750;1,27842000
-246,53062712;0,85741750;1,27842000
-246,36678712;0,85741750;1,27842000
-246,20294712;0,85741750;1,23279500
-246,03910712;0,85741750;1,23279500
-245,87526712;0,85741750;1,23279500
-245,71142712;0,85741750;1,23279500
-245,54758712;0,85741750;1,18701700
-245,38374713;0,85741750;1,18701700
-245,21990713;0,81240270;1,18701700
-245,05606713;0,81240270;1,18701700
-244,89222713;0,85741750;1,18701700
-244,72838713;0,81240270;1,18701700
-244,56454713;0,81240270;1,18701700
-244,40070713;0,76754050;1,14139200
-244,23686713;0,81240270;1,14139200
-244,07302713;0,76754050;1,14139200
-243,90918713;0,76754050;1,14139200
-243,74534714;0,76754050;1,14139200
-243,58150714;0,76754050;1,09576700
-243,41766714;0,76754050;1,09576700
-243,25382714;0,72267830;1,09576700
-243,08998714;0,72267830;1,09576700
-242,92614714;0,72267830;1,09576700
-242,76230714;0,72267830;1,04998900
-242,59846714;0,72267830;1,04998900
-242,43462714;0,72267830;1,04998900
-242,27078714;0,67766350;1,04998900
-242,10694715;0,67766350;1,00436400
-241,94310715;0,67766350;1,00436400
-241,77926715;0,67766350;1,00436400
-241,61542715;0,67766350;1,00436400
-241,45158715;0,67766350;1,00436400
-241,28774715;0,63280130;0,95858640
-241,12390715;0,63280130;0,95858640
-240,96006715;0,63280130;0,95858640
-240,79622715;0,63280130;0,95858640
-240,63238715;0,63280130;0,91296120
-240,46854716;0,63280130;0,91296120
-240,30470716;0,63280130;0,91296120
-240,14086716;0,63280130;0,91296120
-239,97702716;0,63280130;0,91296120
-239,81318716;0,63280130;0,86733600
-239,64934716;0,58778650;0,86733600
-239,48550716;0,58778650;0,86733600
-239,32166716;0,58778650;0,86733600
-239,15782716;0,58778650;0,82155830
-238,99398716;0,58778650;0,86733600
-238,83014717;0,58778650;0,86733600
-238,66630717;0,54292430;0,82155830
-238,50246717;0,54292430;0,82155830
-238,33862717;0,54292430;0,82155830
-238,17478717;0,54292430;0,82155830
-238,01094717;0,54292430;0,77593310
-237,84710717;0,54292430;0,77593310
-237,68326717;0,49806210;0,77593310
-237,51942717;0,49806210;0,73015530
-237,35558717;0,54292430;0,73015530
-237,19174718;0,49806210;0,73015530
-237,02790718;0,49806210;0,73015530
-236,86406718;0,49806210;0,73015530
-236,70022718;0,49806210;0,73015530
-236,53638718;0,49806210;0,68453010
-236,37254718;0,45304730;0,68453010
-236,20870718;0,45304730;0,68453010
-236,04486718;0,45304730;0,68453010
-235,88102718;0,45304730;0,68453010
-235,71718718;0,45304730;0,63890500
-235,55334719;0,45304730;0,63890500
-235,38950719;0,45304730;0,63890500
-235,22566719;0,45304730;0,63890500
-235,06182719;0,45304730;0,63890500
-234,89798719;0,45304730;0,63890500
-234,73414719;0,40818510;0,59312730
-234,57030719;0,40818510;0,59312730
-234,40646719;0,40818510;0,54750200
-234,24262719;0,40818510;0,54750200
-234,07878719;0,40818510;0,54750200
-233,91494720;0,36317030;0,54750200
-233,75110720;0,36317030;0,54750200
-233,58726720;0,36317030;0,54750200
-233,42342720;0,36317030;0,54750200
-233,25958720;0,36317030;0,54750200
-233,09574720;0,36317030;0,50172430
-232,93190720;0,36317030;0,45609910
-232,76806720;0,31830810;0,50172430
-232,60422720;0,31830810;0,50172430
-232,44038720;0,31830810;0,45609910
-232,27654721;0,31830810;0,45609910
-232,11270721;0,31830810;0,45609910
-231,94886721;0,31830810;0,45609910
-231,78502721;0,31830810;0,41047390
-231,62118721;0,27344580;0,41047390
-231,45734721;0,27344580;0,41047390
-231,29350721;0,27344580;0,36469620
-231,12966721;0,27344580;0,36469620
-230,96582721;0,22843100;0,36469620
-230,80198721;0,27344580;0,36469620
