Temps;Canal B
(s);(V)

0,00000000;0,20914330
0,00016384;0,20914330
0,00032768;0,20001830
0,00049152;0,19092380
0,00065536;0,18179880
0,00081920;0,18179880
0,00098304;0,17270420
0,00114688;0,16357920
0,00131072;0,15445420
0,00147456;0,14535970
0,00163840;0,13623460
0,00180224;0,13623460
0,00196608;0,12714010
0,00212992;0,12714010
0,00229376;0,10889000
0,00245760;0,10889000
0,00262144;0,09979553
0,00278528;0,09979553
0,00294912;0,09067049
0,00311296;0,08157597
0,00327680;0,07245094
0,00344064;0,07245094
0,00360448;0,07245094
0,00376832;0,06332590
0,00393216;0,06332590
0,00409600;0,05423139
0,00425984;0,05423139
0,00442368;0,05423139
0,00458752;0,04510636
0,00475136;0,04510636
0,00491520;0,03601184
0,00507904;0,03601184
0,00524288;0,03601184
0,00540672;0,03601184
0,00557056;0,03601184
0,00573440;0,02691733
0,00589824;0,02691733
0,00606208;0,02691733
0,00622592;0,02691733
0,00638976;0,01779229
0,00655360;0,01779229
0,00671744;0,01779229
0,00688128;0,01779229
0,00704512;0,00869778
0,00720896;0,00869778
0,00737280;-0,00042726
0,00753664;0,00869778
0,00770048;-0,00042726
0,00786432;-0,00042726
0,00802816;-0,00042726
0,00819200;-0,00955229
0,00835584;-0,00955229
0,00851968;-0,00955229
0,00868352;-0,00955229
0,00884736;-0,01864681
0,00901120;-0,02777184
0,00917504;-0,02777184
0,00933888;-0,03686636
0,00950272;-0,03686636
0,00966656;-0,04599139
0,00983040;-0,04599139
0,00999424;-0,05511643
0,01015808;-0,05511643
0,01032192;-0,07333598
0,01048576;-0,07333598
0,01064960;-0,08243050
0,01081344;-0,09155553
0,01097728;-0,10068060
0,01114112;-0,10977510
0,01130496;-0,11890010
0,01146880;-0,12799460
0,01163264;-0,13711970
0,01179648;-0,14624470
0,01196032;-0,15533920
0,01212416;-0,16446430
0,01228800;-0,17358930
0,01245184;-0,18268380
0,01261568;-0,19180880
0,01277952;-0,20090330
0,01294336;-0,21915340
0,01310720;-0,21915340
0,01327104;-0,22824790
0,01343488;-0,23737300
0,01359872;-0,24646750
0,01376256;-0,25559250
0,01392640;-0,25559250
0,01409024;-0,26471750
0,01425408;-0,26471750
0,01441792;-0,27381210
0,01458176;-0,27381210
0,01474560;-0,27381210
0,01490944;-0,27381210
0,01507328;-0,27381210
0,01523712;-0,27381210
0,01540096;-0,27381210
0,01556480;-0,27381210
0,01572864;-0,27381210
0,01589248;-0,26471750
0,01605632;-0,26471750
0,01622016;-0,25559250
0,01638400;-0,24646750
0,01654784;-0,23737300
0,01671168;-0,22824790
0,01687552;-0,21915340
0,01703936;-0,21002840
0,01720320;-0,20090330
0,01736704;-0,18268380
0,01753088;-0,17358930
0,01769472;-0,15533920
0,01785856;-0,14624470
0,01802240;-0,12799460
0,01818624;-0,11890010
0,01835008;-0,10068060
0,01851392;-0,08243050
0,01867776;-0,06421094
0,01884160;-0,04599139
0,01900544;-0,02777184
0,01916928;-0,00955229
0,01933312;0,00869778
0,01949696;0,02691733
0,01966080;0,03601184
0,01982464;0,05423139
0,01998848;0,07245094
0,02015232;0,09067049
0,02031616;0,09979553
0,02048000;0,11801510
0,02064384;0,13623460
0,02080768;0,14535970
0,02097152;0,16357920
0,02113536;0,17270420
0,02129920;0,18179880
0,02146304;0,19092380
0,02162688;0,20001830
0,02179072;0,20914330
0,02195456;0,21826840
0,02211840;0,21826840
0,02228224;0,23648790
0,02244608;0,23648790
0,02260992;0,23648790
0,02277376;0,24561300
0,02293760;0,24561300
0,02310144;0,25470750
0,02326528;0,25470750
0,02342912;0,25470750
0,02359296;0,25470750
0,02375680;0,24561300
0,02392064;0,24561300
0,02408448;0,24561300
0,02424832;0,23648790
0,02441216;0,23648790
0,02457600;0,23648790
0,02473984;0,22736290
0,02490368;0,22736290
0,02506752;0,21826840
0,02523136;0,21826840
0,02539520;0,20914330
0,02555904;0,20001830
0,02572288;0,20001830
0,02588672;0,19092380
0,02605056;0,18179880
0,02621440;0,18179880
0,02637824;0,17270420
0,02654208;0,16357920
0,02670592;0,15445420
0,02686976;0,14535970
0,02703360;0,14535970
0,02719744;0,13623460
0,02736128;0,12714010
0,02752512;0,11801510
0,02768896;0,11801510
