Temps;Canal A;Canal B
(ms);(V);(V)

0,00000000;6,38325200;0,63692130
0,16384000;6,38325200;0,63692130
0,32768000;6,38325200;0,63692130
0,49152000;6,38325200;0,63692130
0,65536000;6,38325200;0,63692130
0,81920000;6,38325200;0,63692130
0,98303999;6,38325200;0,63692130
1,14687999;6,38325200;0,63692130
1,31071999;6,38325200;0,63692130
1,47455999;6,38325200;0,63692130
1,63839999;6,38325200;0,63692130
1,80223999;6,38325200;0,63692130
1,96607999;6,38325200;0,63692130
2,12991999;6,38325200;0,63692130
2,29375999;6,38325200;0,63692130
2,45759999;6,38325200;0,63692130
2,62143998;6,38325200;0,63692130
2,78527998;6,38325200;0,63692130
2,94911998;6,38325200;0,63692130
3,11295998;6,38325200;0,63692130
3,27679998;6,38325200;0,63692130
3,44063998;6,38325200;0,63692130
3,60447998;6,38325200;0,63692130
3,76831998;6,38325200;0,63692130
3,93215998;6,38325200;0,63692130
4,09599998;6,38325200;0,63692130
4,25983997;6,38325200;0,63692130
4,42367997;6,38325200;0,63692130
4,58751997;6,38325200;0,72817160
4,75135997;6,38325200;0,63692130
4,91519997;6,38325200;0,63692130
5,07903997;6,38325200;0,63692130
5,24287997;6,38325200;0,63692130
5,40671997;6,38325200;0,63692130
5,57055997;6,38325200;0,63692130
5,73439997;6,38325200;0,63692130
5,89823996;6,38325200;0,63692130
6,06207996;6,38325200;0,63692130
6,22591996;6,38325200;0,63692130
6,38975996;6,38325200;0,63692130
6,55359996;6,38325200;0,63692130
6,71743996;6,38325200;0,63692130
6,88127996;6,38325200;0,63692130
7,04511996;6,38325200;0,72817160
7,20895996;6,38325200;0,63692130
7,37279996;6,38325200;0,63692130
7,53663995;6,38325200;0,63692130
7,70047995;6,38325200;0,63692130
7,86431995;6,38325200;0,63692130
8,02815995;6,38325200;0,63692130
8,19199995;6,38325200;0,63692130
8,35583995;6,38325200;0,63692130
8,51967995;6,38325200;0,63692130
8,68351995;6,38325200;0,63692130
8,84735995;6,38325200;0,63692130
9,01119995;6,38325200;0,63692130
9,17503994;6,38325200;0,63692130
9,33887994;6,38325200;0,63692130
9,50271994;6,38325200;0,63692130
9,66655994;6,38325200;0,63692130
9,83039994;6,38325200;0,63692130
9,99423994;6,38325200;0,63692130
10,15807994;6,38325200;0,63692130
10,32191994;6,38325200;0,63692130
10,48575994;6,38325200;0,63692130
10,64959994;6,47297600;0,63692130
10,81343993;6,38325200;0,63692130
10,97727993;6,38325200;0,63692130
11,14111993;6,38325200;0,63692130
11,30495993;6,38325200;0,63692130
11,46879993;6,38325200;0,63692130
11,63263993;6,38325200;0,63692130
11,79647993;6,38325200;0,63692130
11,96031993;6,38325200;0,63692130
12,12415993;6,38325200;0,63692130
12,28799993;6,38325200;0,63692130
12,45183992;6,38325200;0,63692130
12,61567992;6,38325200;0,63692130
12,77951992;6,38325200;0,63692130
12,94335992;6,38325200;0,63692130
13,10719992;6,38325200;0,63692130
13,27103992;6,38325200;0,63692130
13,43487992;6,38325200;0,63692130
13,59871992;6,38325200;0,63692130
13,76255992;6,38325200;0,63692130
13,92639992;6,38325200;0,63692130
14,09023991;6,38325200;0,63692130
14,25407991;6,38325200;0,63692130
14,41791991;6,38325200;0,63692130
14,58175991;6,38325200;0,63692130
14,74559991;6,38325200;0,63692130
14,90943991;6,38325200;0,63692130
15,07327991;6,38325200;0,63692130
15,23711991;6,38325200;0,63692130
15,40095991;6,38325200;0,63692130
15,56479991;6,38325200;0,63692130
15,72863990;6,38325200;0,63692130
15,89247990;6,38325200;0,72817160
16,05631990;6,38325200;0,63692130
16,22015990;6,38325200;0,63692130
16,38399990;6,38325200;0,63692130
16,54783990;6,38325200;0,63692130
16,71167990;6,38325200;0,63692130
16,87551990;6,38325200;0,63692130
17,03935990;6,38325200;0,63692130
17,20319990;6,38325200;0,63692130
17,36703989;6,38325200;0,63692130
17,53087989;6,38325200;0,63692130
17,69471989;6,38325200;0,63692130
17,85855989;6,38325200;0,63692130
18,02239989;6,38325200;0,63692130
18,18623989;6,38325200;0,63692130
18,35007989;6,38325200;0,63692130
18,51391989;6,38325200;0,63692130
18,67775989;6,38325200;0,63692130
18,84159989;6,38325200;0,63692130
19,00543988;6,38325200;0,63692130
19,16927988;6,38325200;0,63692130
19,33311988;6,38325200;0,63692130
19,49695988;6,38325200;0,63692130
19,66079988;6,38325200;0,63692130
19,82463988;6,38325200;0,63692130
19,98847988;6,38325200;0,63692130
20,15231988;6,38325200;0,63692130
20,31615988;6,38325200;0,63692130
20,47999988;6,38325200;0,63692130
