Temps;Canal A;Canal B
(s);(V);(V)
;;
-1,00005746;3,013703;0,03619495
-1,00003746;3,013703;0,03619495
-1,00001746;3,013703;0,03619495
-0,99999746;3,013703;0,01782281
-0,99997746;3,013703;0,03619495
-0,99995746;3,013703;0,03619495
-0,99993746;3,013703;0,03619495
-0,99991746;3,013703;0,03619495
-0,99989746;3,013703;0,01782281
-0,99987746;3,013703;0,01782281
-0,99985746;3,013703;0,01782281
-0,99983746;3,013703;0,01782281
-0,99981746;3,013703;0,03619495
-0,99979746;3,013703;0,01782281
-0,99977746;3,013703;0,01782281
-0,99975746;3,013703;0,01782281
-0,99973746;3,013703;0,01782281
-0,99971746;3,013703;0,03619495
-0,99969746;3,013703;0,01782281
-0,99967746;3,013703;0,01782281
-0,99965746;3,013703;0,01782281
-0,99963746;3,013703;0,01782281
-0,99961746;3,013703;0,03619495
-0,99959746;3,013703;0,03619495
-0,99957746;3,013703;0,03619495
-0,99955746;3,013703;0,03619495
-0,99953746;3,013703;0,01782281
-0,99951746;3,013703;0,01782281
-0,99949746;3,013703;0,01782281
-0,99947746;3,013703;0,03619495
-0,99945746;3,013703;0,01782281
-0,99943746;3,013703;0,01782281
-0,99941746;3,013703;0,01782281
-0,99939746;3,013703;0,01782281
-0,99937746;3,013703;0,03619495
-0,99935746;3,013703;0,03619495
-0,99933746;3,013703;0,01782281
-0,99931746;3,013703;0,01782281
-0,99929746;3,013703;0,01782281
-0,99927746;3,013703;0,01782281
-0,99925746;3,013703;0,01782281
-0,99923746;3,013703;0,03619495
-0,99921746;3,013703;0,03619495
-0,99919746;3,013703;0,01782281
-0,99917746;3,013703;0,03619495
-0,99915746;3,013703;0,03619495
-0,99913746;3,013703;0,03619495
-0,99911746;3,013703;0,01782281
-0,99909746;3,013703;0,01782281
-0,99907746;3,013703;0,03619495
-0,99905746;3,013703;0,03619495
-0,99903746;3,013703;0,03619495
-0,99901746;3,013703;0,03619495
-0,99899746;3,013703;0,01782281
-0,99897746;3,013703;0,03619495
-0,99895746;3,013703;0,03619495
-0,99893746;3,013703;0,01782281
-0,99891746;3,013703;0,01782281
-0,99889746;3,013703;0,03619495
-0,99887746;3,013703;0,01782281
-0,99885746;3,013703;0,01782281
-0,99883746;3,013703;0,01782281
-0,99881746;3,013703;0,01782281
-0,99879746;3,013703;0,01782281
-0,99877746;3,013703;0,01782281
-0,99875746;3,013703;0,03619495
-0,99873746;3,013703;0,03619495
-0,99871746;3,013703;0,01782281
-0,99869746;3,013703;0,03619495
-0,99867746;3,013703;0,03619495
-0,99865746;3,013703;0,01782281
-0,99863746;3,013703;0,01782281
-0,99861746;3,013703;0,01782281
-0,99859746;3,013703;0,01782281
-0,99857746;3,013703;0,01782281
-0,99855746;3,013703;0,03619495
-0,99853746;3,013703;0,03619495
-0,99851746;3,013703;0,03619495
-0,99849746;3,013703;0,03619495
-0,99847746;3,013703;0,01782281
-0,99845746;3,013703;0,01782281
-0,99843746;3,013703;0,01782281
-0,99841746;3,013703;0,01782281
-0,99839746;3,013703;0,01782281
-0,99837746;3,013703;0,03619495
-0,99835746;3,013703;0,01782281
