Temps;Canal A;Canal B
(ms);(mV);(mV)

-500,69504976;-3,81481300;0,83620720
-500,36736976;0,56459240;0,83620720
-500,03968977;-3,81481300;0,83620720
-499,71200977;0,56459240;0,83620720
-499,38432977;-3,81481300;0,83620720
-499,05664977;0,56459240;0,83620720
-498,72896977;0,56459240;0,83620720
-498,40128978;-3,81481300;0,83620720
-498,07360978;0,56459240;0,39216280
-497,74592978;0,56459240;1,28025200
-497,41824978;0,56459240;1,28025200
-497,09056978;-3,81481300;1,28025200
-496,76288979;0,56459240;1,28025200
-496,43520979;0,56459240;1,28025200
-496,10752979;-3,81481300;1,28025200
-495,77984979;0,56459240;1,28025200
-495,45216979;0,56459240;0,39216280
-495,12448980;0,56459240;1,72429600
-494,79680980;0,56459240;0,83620720
-494,46912980;-3,81481300;1,28025200
-494,14144980;0,56459240;1,28025200
-493,81376980;0,56459240;0,83620720
-493,48608981;0,56459240;1,72429600
-493,15840981;0,56459240;0,83620720
-492,83072981;0,56459240;1,28025200
-492,50304981;0,56459240;1,72429600
-492,17536981;-3,81481300;1,28025200
-491,84768982;-3,81481300;1,72429600
-491,52000982;0,56459240;1,28025200
-491,19232982;-3,81481300;1,72429600
-490,86464982;0,56459240;2,16834000
-490,53696982;-3,81481300;1,72429600
-490,20928983;0,56459240;2,16834000
-489,88160983;0,56459240;2,16834000
-489,55392983;0,56459240;2,16834000
-489,22624983;0,56459240;2,16834000
-488,89856983;0,56459240;2,16834000
-488,57088984;0,56459240;2,16834000
-488,24320984;0,56459240;2,16834000
-487,91552984;0,56459240;2,16834000
-487,58784984;0,56459240;2,16834000
-487,26016984;0,56459240;2,16834000
-486,93248985;0,56459240;2,61238400
-486,60480985;-3,81481300;2,61238400
-486,27712985;0,56459240;2,16834000
-485,94944985;0,56459240;3,05642900
-485,62176985;-3,81481300;2,61238400
-485,29408986;0,56459240;2,61238400
-484,96640986;0,56459240;2,61238400
-484,63872986;0,56459240;2,61238400
-484,31104986;0,56459240;3,05642900
-483,98336986;0,56459240;3,05642900
-483,65568987;-3,81481300;3,50199900
-483,32800987;-3,81481300;3,05642900
-483,00032987;0,56459240;3,50199900
-482,67264987;0,56459240;3,05642900
-482,34496987;0,56459240;3,50199900
-482,01728988;0,56459240;3,50199900
-481,68960988;0,56459240;3,94604300
-481,36192988;0,56459240;3,50199900
-481,03424988;0,56459240;3,94604300
-480,70656988;0,56459240;3,94604300
-480,37888989;0,56459240;3,94604300
-480,05120989;-3,81481300;4,39008800
-479,72352989;0,56459240;4,83413200
-479,39584989;0,56459240;5,27970200
-479,06816989;-3,81481300;4,39008800
-478,74048990;0,56459240;4,83413200
-478,41280990;0,56459240;5,27970200
-478,08512990;0,56459240;4,39008800
-477,75744990;-3,81481300;5,72374600
-477,42976990;4,94399800;5,27970200
-477,10208991;9,33866300;5,27970200
-476,77440991;22,50740000;5,27970200
-476,44672991;48,84487000;5,72374600
-476,11904991;70,80294000;5,27970200
-475,79136991;88,36634000;5,72374600
-475,46368992;105,92970000;5,72374600
-475,13600992;119,09850000;5,72374600
-474,80832992;132,26720000;5,72374600
-474,48064992;145,43590000;5,72374600
-474,15296992;154,22530000;6,16779000
-473,82528993;162,99940000;6,16779000
-473,49760993;171,78870000;6,16779000
-473,16992993;176,16810000;6,16779000
-472,84224993;184,95740000;7,05740500
-472,51456993;193,73150000;7,05740500
-472,18688994;198,12620000;7,05740500
-471,85920994;202,52080000;7,50145000
-471,53152994;211,29490000;7,05740500
-471,20384994;215,68960000;7,50145000
-470,87616994;224,46360000;7,50145000
-470,54848995;228,85830000;7,94549400
-470,22080995;237,63240000;7,94549400
-469,89312995;242,02700000;8,39106400
-469,56544995;250,80110000;8,39106400
-469,23776995;250,80110000;8,39106400
-468,91008996;259,59040000;8,39106400
-468,58240996;263,98510000;8,39106400
-468,25472996;268,36450000;8,83510900
-467,92704996;272,75920000;8,83510900
-467,59936996;277,15380000;8,83510900
-467,27168997;281,54850000;9,27915300
-466,94400997;285,92790000;9,27915300
-466,61632997;290,32250000;9,27915300
-466,28864997;294,71720000;9,72472300
-465,96096997;303,49130000;9,72472300
-465,63328998;307,88600000;9,72472300
-465,30560998;316,66000000;10,16877000
-464,97792998;321,05470000;10,16877000
-464,65024998;325,44940000;10,16877000
-464,32256998;329,82880000;10,61281000
-463,99488999;334,22340000;10,16877000
-463,66720999;343,01280000;10,61281000
-463,33952999;347,39220000;10,61281000
-463,01184999;351,78680000;9,72472300
-462,68416999;356,18150000;11,05686000
-462,35649000;360,56090000;10,61281000
-462,02881000;364,95560000;11,05686000
-461,70113000;369,35020000;11,50243000
-461,37345000;373,74490000;11,05686000
-461,04577000;373,74490000;11,94647000
-460,71809001;378,12430000;11,05686000
-460,39041001;382,51900000;11,94647000
-460,06273001;386,91360000;11,50243000
-459,73505001;386,91360000;11,50243000
-459,40737001;391,29310000;11,50243000
-459,07969002;391,29310000;11,50243000
-458,75201002;391,29310000;11,94647000
-458,42433002;395,68770000;11,50243000
-458,09665002;395,68770000;11,94647000
-457,76897002;400,08240000;11,94647000
-457,44129003;408,85640000;12,39052000
-457,11361003;413,25110000;12,39052000
-456,78593003;422,04040000;12,83609000
-456,45825003;426,41990000;12,83609000
-456,13057003;435,20920000;13,28013000
-455,80289004;443,98320000;13,28013000
-455,47521004;457,15200000;13,72417000
-455,14753004;461,54670000;14,16822000
-454,81985004;470,32070000;14,16822000
-454,49217004;479,11010000;14,61379000
-454,16449005;483,50470000;14,61379000
-453,83681005;492,27880000;15,05783000
-453,50913005;∞;14,61379000
-453,18145005;∞;15,05783000
-452,85377005;∞;15,05783000
-452,52609006;∞;15,05783000
-452,19841006;∞;15,05783000
-451,87073006;∞;15,05783000
-451,54305006;∞;15,05783000
-451,21537006;∞;15,05783000
-450,88769007;∞;15,05783000
-450,56001007;∞;14,61379000
-450,23233007;∞;15,05783000
-449,90465007;∞;15,05783000
-449,57697007;∞;14,61379000
-449,24929008;∞;14,61379000
-448,92161008;∞;14,61379000
-448,59393008;∞;14,61379000
-448,26625008;∞;14,61379000
-447,93857008;∞;14,61379000
-447,61089009;∞;14,61379000
-447,28321009;∞;14,61379000
