Temps;Canal A
(us);(V)

-25,02409370;0,16333510
-25,01409370;0,16333510
-25,00409370;0,16333510
-24,99409370;0,14526810
-24,98409370;0,14526810
-24,97409370;0,14526810
-24,96409370;0,14526810
-24,95409370;0,14526810
-24,94409370;0,12720110
-24,93409370;0,12720110
-24,92409370;0,12720110
-24,91409370;0,12720110
-24,90409370;0,12720110
-24,89409370;0,12720110
-24,88409370;0,12720110
-24,87409370;0,12720110
-24,86409370;0,10913420
-24,85409370;0,10913420
-24,84409370;0,10913420
-24,83409370;0,10913420
-24,82409370;0,10913420
-24,81409370;0,10913420
-24,80409370;0,09100620
-24,79409370;0,09100620
-24,78409370;0,09100620
-24,77409370;0,09100620
-24,76409370;0,07293924
-24,75409370;0,09100620
-24,74409370;0,07293924
-24,73409370;0,09100620
-24,72409370;0,07293924
-24,71409370;0,07293924
-24,70409370;0,07293924
-24,69409370;0,07293924
-24,68409370;0,07293924
-24,67409370;0,05487228
-24,66409370;0,07293924
-24,65409370;0,05487228
-24,64409370;0,05487228
-24,63409370;0,05487228
-24,62409370;0,05487228
-24,61409370;0,03680532
-24,60409370;0,03680532
-24,59409370;0,03680532
-24,58409370;0,03680532
-24,57409370;0,03680532
-24,56409370;0,03680532
-24,55409370;0,03680532
-24,54409371;0,03680532
-24,53409371;0,03680532
-24,52409371;0,01873836
-24,51409371;0,01873836
-24,50409371;0,01873836
-24,49409371;0,01873836
-24,48409371;0,00067141
-24,47409371;0,00067141
-24,46409371;0,00067141
-24,45409371;0,00067141
-24,44409371;0,00067141
-24,43409371;0,00067141
-24,42409371;-0,01739555
-24,41409371;-0,01739555
-24,40409371;-0,01739555
-24,39409371;-0,01739555
-24,38409371;-0,01739555
-24,37409371;-0,03546251
-24,36409371;-0,03546251
-24,35409371;-0,03546251
-24,34409371;-0,03546251
-24,33409371;-0,03546251
-24,32409371;-0,03546251
-24,31409371;-0,03546251
-24,30409371;-0,03546251
-24,29409371;-0,03546251
-24,28409371;-0,05352946
-24,27409371;-0,05352946
-24,26409371;-0,05352946
-24,25409371;-0,05352946
-24,24409371;-0,05352946
-24,23409371;-0,05352946
-24,22409371;-0,05352946
-24,21409371;-0,07165746
-24,20409371;-0,07165746
-24,19409371;-0,07165746
-24,18409371;-0,07165746
-24,17409371;-0,07165746
-24,16409371;-0,07165746
-24,15409371;-0,08972442
-24,14409371;-0,07165746
-24,13409371;-0,07165746
-24,12409371;-0,08972442
-24,11409371;-0,08972442
-24,10409371;-0,08972442
