Temps;Canal A;Canal B
(ms);(V);(V)

-5,00479899;0,00396741;1,82668500
-5,00223899;0,00396741;1,82668500
-4,99967899;0,00396741;1,82668500
-4,99711899;0,00396741;1,82668500
-4,99455899;0,00396741;1,82668500
-4,99199899;0,00396741;1,82668500
-4,98943899;0,00396741;1,82668500
-4,98687899;0,00396741;1,82668500
-4,98431899;0,00396741;1,82668500
-4,98175899;0,00396741;1,82668500
-4,97919899;0,00396741;1,82668500
-4,97663899;0,00396741;1,82668500
-4,97407899;0,00396741;1,82668500
-4,97151899;0,00396741;1,82668500
-4,96895899;0,00396741;1,82668500
-4,96639899;0,00396741;1,82668500
-4,96383899;0,00396741;1,82668500
-4,96127899;0,00396741;1,82668500
-4,95871899;0,00396741;1,82668500
-4,95615899;0,00396741;1,82668500
-4,95359899;0,00396741;1,82668500
-4,95103899;0,00396741;1,82668500
-4,94847899;0,00396741;1,78106000
-4,94591899;0,00396741;1,78106000
-4,94335899;0,00396741;1,82668500
-4,94079899;0,00396741;1,82668500
-4,93823899;0,00396741;1,82668500
-4,93567899;0,00396741;1,82668500
-4,93311899;0,00396741;1,82668500
-4,93055899;0,00396741;1,82668500
-4,92799899;0,00396741;1,82668500
-4,92543899;-0,04089480;1,82668500
-4,92287899;0,00396741;1,82668500
-4,92031899;0,00396741;1,82668500
-4,91775899;0,00396741;1,82668500
-4,91519899;0,00396741;1,82668500
-4,91263899;0,00396741;1,82668500
-4,91007899;0,00396741;1,78106000
-4,90751899;0,00396741;1,82668500
-4,90495899;0,00396741;1,82668500
-4,90239899;0,00396741;1,82668500
-4,89983899;0,00396741;1,82668500
-4,89727899;0,00396741;1,82668500
-4,89471899;0,00396741;1,82668500
-4,89215899;0,00396741;1,82668500
-4,88959899;0,00396741;1,82668500
-4,88703899;0,00396741;1,82668500
-4,88447899;0,00396741;1,82668500
-4,88191899;0,00396741;1,82668500
-4,87935899;0,00396741;1,82668500
-4,87679899;-0,04089480;1,82668500
-4,87423899;0,00396741;1,82668500
-4,87167899;0,00396741;1,82668500
-4,86911899;0,00396741;1,82668500
-4,86655899;0,00396741;1,82668500
-4,86399899;0,00396741;1,82668500
-4,86143899;0,00396741;1,82668500
-4,85887899;0,00396741;1,82668500
-4,85631899;0,00396741;1,82668500
-4,85375899;0,00396741;1,82668500
-4,85119899;0,00396741;1,82668500
-4,84863899;0,00396741;1,82668500
-4,84607899;0,00396741;1,82668500
-4,84351899;0,00396741;1,78106000
-4,84095899;0,00396741;1,82668500
-4,83839899;0,00396741;1,82668500
-4,83583899;0,00396741;1,82668500
-4,83327899;0,00396741;1,82668500
-4,83071899;0,00396741;1,82668500
-4,82815899;0,00396741;1,82668500
-4,82559899;0,00396741;1,82668500
-4,82303899;0,00396741;1,82668500
-4,82047899;0,00396741;1,78106000
-4,81791899;0,00396741;1,82668500
-4,81535899;0,00396741;1,78106000
-4,81279899;0,00396741;1,82668500
-4,81023899;0,00396741;1,82668500
-4,80767899;0,00396741;1,82668500
-4,80511899;0,00396741;1,82668500
-4,80255899;0,00396741;1,82668500
-4,79999899;0,00396741;1,82668500
-4,79743899;0,00396741;1,82668500
-4,79487899;0,00396741;1,82668500
-4,79231899;0,00396741;1,82668500
-4,78975899;-0,04089480;1,78106000
-4,78719899;-0,04089480;1,82668500
-4,78463899;0,00396741;1,82668500
-4,78207899;0,00396741;1,82668500
-4,77951899;0,00396741;1,82668500
-4,77695899;0,00396741;1,82668500
-4,77439899;0,00396741;1,82668500
-4,77183899;0,00396741;1,82668500
-4,76927899;-0,04089480;1,82668500
-4,76671899;0,00396741;1,78106000
-4,76415899;0,00396741;1,82668500
-4,76159899;0,00396741;1,82668500
-4,75903899;0,00396741;1,82668500
-4,75647899;0,00396741;1,82668500
-4,75391899;0,00396741;1,82668500
-4,75135900;0,00396741;1,82668500
-4,74879900;0,00396741;1,82668500
-4,74623900;0,00396741;1,82668500
-4,74367900;0,00396741;1,82668500
-4,74111900;0,00396741;1,82668500
-4,73855900;0,00396741;1,82668500
-4,73599900;0,00396741;1,82668500
-4,73343900;0,00396741;1,82668500
-4,73087900;0,00396741;1,82668500
-4,72831900;0,00396741;1,82668500
-4,72575900;0,00396741;1,82668500
-4,72319900;0,00396741;1,82668500
-4,72063900;0,00396741;1,82668500
-4,71807900;0,00396741;1,82668500
-4,71551900;0,00396741;1,82668500
-4,71295900;0,00396741;1,82668500
-4,71039900;0,00396741;1,82668500
-4,70783900;0,00396741;1,82668500
-4,70527900;0,00396741;1,82668500
-4,70271900;0,00396741;1,82668500
